 ,Area,X,Y,XM,YM,Circ.,%Area,AR,Round,Solidity
159,0.030,1.727,1.017,1.729,1.018,0.837,93.102,1.407,0.711,0.963
160,0.008,1.563,0.990,1.563,0.990,0.833,100.000,1.352,0.740,0.939
161,0.020,2.770,1.016,2.770,1.016,0.896,96.958,1.108,0.902,0.962
162,0.003,3.015,0.980,3.015,0.980,0.915,100.000,1.282,0.780,0.933
163,0.023,3.351,1.051,3.351,1.051,0.818,98.727,1.571,0.636,0.952
164,0.025,2.095,1.050,2.095,1.050,0.891,95.903,1.243,0.805,0.966
165,0.006,0.517,0.995,0.517,0.995,0.850,100.000,1.402,0.713,0.925
166,0.007,4.950,1.026,4.950,1.025,0.673,96.244,1.475,0.678,0.904
167,0.027,4.272,1.106,4.273,1.108,0.761,95.000,1.850,0.540,0.938
168,0.014,0.962,1.061,0.962,1.061,0.903,100.000,1.167,0.857,0.959
169,0.035,4.521,1.097,4.520,1.096,0.731,78.438,1.972,0.507,0.940
170,0.006,2.902,1.063,2.902,1.063,0.839,100.000,1.201,0.832,0.940
171,7.401E-4,4.674,1.041,4.674,1.041,0.520,100.000,1.508,0.663,0.752
172,0.004,0.061,1.062,0.061,1.062,0.909,100.000,1.071,0.933,0.921
173,0.038,1.929,1.177,1.929,1.177,0.759,99.629,1.978,0.506,0.963
174,0.001,3.022,1.053,3.022,1.053,0.720,100.000,1.139,0.878,0.832
175,0.008,1.332,1.089,1.332,1.089,0.898,100.000,1.056,0.947,0.947
176,0.021,0.477,1.131,0.477,1.131,0.840,98.220,1.178,0.849,0.964
177,0.020,0.657,1.125,0.657,1.125,0.860,99.377,1.137,0.879,0.957
178,0.018,1.169,1.136,1.169,1.136,0.907,99.569,1.196,0.836,0.968
179,0.002,3.524,1.095,3.524,1.095,0.848,99.291,1.238,0.807,0.876
180,0.030,4.882,1.193,4.888,1.195,0.773,62.719,1.614,0.620,0.945
181,0.010,1.614,1.163,1.614,1.163,0.737,99.835,1.423,0.703,0.916
182,0.010,3.071,1.152,3.071,1.152,0.858,100.000,1.084,0.922,0.943
183,0.008,1.456,1.159,1.456,1.159,0.883,100.000,1.207,0.828,0.942
184,0.004,4.718,1.150,4.718,1.150,0.669,98.496,1.240,0.806,0.906
185,0.015,1.776,1.191,1.775,1.191,0.893,90.456,1.090,0.917,0.954
186,0.009,2.757,1.183,2.757,1.183,0.684,99.444,1.308,0.764,0.923
187,0.014,2.909,1.180,2.909,1.180,0.871,100.000,1.461,0.685,0.962
188,0.012,0.217,1.187,0.217,1.187,0.853,100.000,1.331,0.752,0.946
189,0.009,3.449,1.200,3.449,1.200,0.901,100.000,1.245,0.803,0.952
190,0.056,2.319,1.263,2.324,1.265,0.760,77.140,1.409,0.710,0.929
191,1.260E-4,5.012,1.161,5.012,1.161,0.567,100.000,1.440,0.694,0.667
192,0.046,1.068,1.288,1.069,1.289,0.878,86.273,1.232,0.811,0.970
